NULL;11;RE01010000;Consejo Universitario;A101010100;Consejo Universitario
NULL;51;NU01170500;Escuela de Ciencias de la Tierra - Departamento de Ingeniería Civil;A101100207;Departamento de Ingeniería Civil
NULL;51;NU01180100;Unidad de Cursos Básicos - Dirección;A101100701;Unidad de Cursos Básicos - Dirección
NULL;51;NU01180200;Unidad de Cursos Básicos - Departamento de Ciencias;A101100702;Unidad de Cursos Básicos - Dpto. de Ciencias
NULL;51;NU01180300;Unidad de Cursos Básicos - Departamento Socio-Humanistico;A101100703;Unidad de Cursos Básicos - Dpto. de Sociohumanidades
NULL;53;NU01000000;Extensión UEPO - Dirección;A101020300;Dirección Sub-Núcleos y Extensiones
NULL;53;NU01030000;Biblioteca;A101130208;Bibliotecas Centrales Áreas Interdisciplinarias
NULL;53;NU01040000;Administración;A101020300;Dirección Sub-Núcleos y Extensiones
NULL;41;NU01000000;Decanato;A101020200;Decanato
NULL;41;NU01010000;Delegación de Consultoria Jurídica;A101020400;Dirección y/o Delegación de Consultoría Jurídica 
NULL;41;NU01020000;Delegación de Relaciones Inter-Institucionales;A101020600;Oficina de Relaciones Inter-Institucionales 
NULL;41;NU01030000;Delegación de Planificación ;A101070100;Dirección y/o Delegación de Planificación
NULL;41;NU01040000;Delegación de Deportes;A101140200;Dirección y/o Delegación de Deportes
NULL;41;NU01050000;Delegación de Recursos Humanos;A101040200;Comisión de Formación de Recursos Humanos
NULL;41;NU01060000;Delegación de Cultura;A101140300;Dirección y/o Delegación de Cultura
NULL;41;NU01070000;Delegación de Servicios Telemáticos;A101090100;Dirección y/o Delegación de Teleinformática
NULL;41;NU01080000;Delegación de Publicaciones ;A101030300;Servicios de Publicaciones Institucionales 
NULL;41;NU01090000;Delegación de Desarrollo Estudiantil;A101140100;Dirección y/o Delegación de Desarrollo Estudiantil
NULL;41;NU01100000;Coordinación Académica;A101040500;Coordinación Académica
NULL;41;NU01100100;Coordinación de Postgrdo;A101110100;Coordinación General  y/o Delegación de Postgrado
NULL;41;NU01100200;Delegación de Control de Estudio;A101130100;Coordiinación General y/o Delegación de Control de Estudio
NULL;41;NU01100300;Comisión de Investigación;A101120100;Coordinación y/o Comisión de Investigación
NULL;41;NU01100400;Delegación de Curricula;A101040400;Dirección y/o Delegación de Curricula
NULL;41;NU01100401;Sección de Servicio Comunitario;A101100704;Coordinación y/o Sección de Servicio Comunitario del Estudiante
NULL;41;NU01110000;Biblioteca General;A101130208;Bibliotecas Centrales Áreas Interdisciplinarias
NULL;41;NU01120000;Delegación de Tecnología Educativa;A101130300;Dirección y/o Delegación de Tecnología Educativa
NULL;41;NU01130000;Delegación de Comunicación Corporativa;A101030200;Comunicación Corporativa 
NULL;41;NU01140000;Coordinación Administrativa;A101080100;Coordinación de Administración 
NULL;41;NU01140100;Delegación de Presupuesto;A101070200;Dirección y/o Delegación de Presupuesto
NULL;41;NU01140200;Delegación de Personal;A101060100;Dirección y/o Delegación de Personal
NULL;41;NU01140201;Departamento de Nómina;A101060200;Departamento de Nómina
NULL;41;NU01140300;Delegación de Finanzas;A101080200;Dirección y/o Delegación de Finanzas
NULL;41;NU01140301;Departamento de Contabilidad;A101080203;Departamento de Contabilidad
NULL;41;NU01140302;Librería Universitaria;A101130208;Bibliotecas Centrales Áreas Interdisciplinarias
NULL;41;NU01140400;Comedor Universitario;A101140400;Comedor Estudiantil
NULL;41;NU01140500;Coordinación de Servicios Generales;A101150200;Coordinación y/o Sección de Servicios Generales
NULL;41;NU01140600;Sección de Compras;A101080101;Sección de Compras
NULL;41;NU01150100;Escuela de Ciencias del Agro y Del Ambiente - Dirección;A101100301;Dirección y Gestión Escuelas Área Ciencias del Agro y del Mar
NULL;41;NU01150200;Escuela de Ciencias del Agro y Del Ambiente - Departamento de Ingeniería Agronómica;A101100302;Departamento de Ingeniería Agronómica
NULL;41;NU01150300;Escuela de Ciencias del Agro y Del Ambiente - Departamento de Ingeniería Ambiental;A101100302;Departamento de Ingeniería Agronómica
NULL;41;NU01150400;Escuela de Ciencias del Agro y Del Ambiente - Departamento de Producción Animal;A101100303;Departamento de Ingeniería de Producción Animal
NULL;41;NU01150500;Escuela de Ciencias del Agro y Del Ambiente - Departamento de Tecnología de los Alimentos;A101100304;Departamento de Tecnología de Alimentos
NULL;41;NU01160100;Escuela de Ingeniería y Ciencias Aplicadas - Dirección ;A101100201;Dirección y Gestión Escuelas Areas de Ciencias Arquitectura, Ingeniería y Tecnológia
NULL;41;NU01160200;Escuela de Ingeniería y Ciencias Aplicadas - Departameno de Petróleo;A101100205;Departamento de Ingeniería de Petróleo
NULL;41;NU01160300;Escuela de Ingeniería y Ciencias Aplicadas - Departameno de Ingeniería de Sistemas;A101100210;Departamento de Ingeniería de Sistemas
NULL;41;NU01170100;Escuela de Ciencias Sociales y Administrativas - Dirección;A101100602;Gestion de la enseñanza en carreras . Ciencias Administrativas
NULL;41;NU01170200;Escuela de Ciencias Sociales y Administrativas - Departamento de Administración;A101100607;Departamento de Administración Comercial
NULL;41;NU01170300;Escuela de Ciencias Sociales y Administrativas - Departamento de Contaduría;A101100608;Departamento de Contaduría Pública
NULL;41;NU01170400;Escuela de Ciencias Sociales y Administrativas - Departamento de Gerencia de Recursos Humanos;A101100612;Departamento de Gerencia de Recursos Humanos
NULL;41;NU01180100;Instituto de Investigaciones Agropecuarias - Dirección;A101100301;Dirección y Gestión Escuelas Área Ciencias del Agro y del Mar
NULL;41;NU01180200;Instituto de Investigaciones Agropecuarias - Departamento de Investigaciones Sector Agricola;A101100302;Departamento de Ingeniería Agronómica
NULL;41;NU01180300;Instituto de Investigaciones Agropecuarias - Departamento de Investigaciones Sector Ambiente Rect. Nat.;A101100302;Departamento de Ingeniería Agronómica
NULL;41;NU01180400;Instituto de Investigaciones Agropecuarias - Departamento Administración Agro. Ind.;A101100302;Departamento de Ingeniería Agronómica
NULL;41;NU01190100;Unidad de Cursos Básicos - Dirección;A101100701;Unidad de Cursos Básicos - Dirección
NULL;41;NU01190200;Unidad de Cursos Básicos - Departamento de Ciencias;A101100702;Unidad de Cursos Básicos - Dpto. de Ciencias
NULL;41;NU01190300;Unidad de Cursos Básicos - Departamento Socio-Humanistico;A101100703;Unidad de Cursos Básicos - Dpto. de Sociohumanidades
NULL;61;NU01000000;Decanato;A101020200;Decanato
NULL;61;NU01010000;Delegación de Consultoria Jurídica;A101020400;Dirección y/o Delegación de Consultoría Jurídica 
NULL;61;NU01020000;Delegación de Relaciones Inter-Institucionales;A101020600;Oficina de Relaciones Inter-Institucionales 
NULL;61;NU01030000;Delegación de Planificación ;A101070100;Dirección y/o Delegación de Planificación
NULL;61;NU01040000;Delegación de Deportes;A101140200;Dirección y/o Delegación de Deportes
NULL;61;NU01050000;Delegación de Recursos Humanos;A101040200;Comisión de Formación de Recursos Humanos
NULL;61;NU01060000;Delegación de Cultura;A101140300;Dirección y/o Delegación de Cultura
NULL;61;NU01070000;Delegación de Servicios Telemáticos;A101090100;Dirección y/o Delegación de Teleinformática
NULL;61;NU01080000;Delegación de Publicaciones ;A101030300;Servicios de Publicaciones Institucionales 
NULL;61;NU01090000;Delegación de Desarrollo Estudiantil;A101140100;Dirección y/o Delegación de Desarrollo Estudiantil
NULL;61;NU01100000;Coordinación Académica;A101040500;Coordinación Académica
NULL;61;NU01100100;Coordinación de Postgrdo;A101110100;Coordinación General  y/o Delegación de Postgrado
NULL;61;NU01100200;Delegación de Control de Estudio;A101130100;Coordiinación General y/o Delegación de Control de Estudio
NULL;61;NU01100300;Comisión de Investigación;A101120100;Coordinación y/o Comisión de Investigación
NULL;61;NU01100400;Delegación de Curricula;A101040400;Dirección y/o Delegación de Curricula
NULL;61;NU01100401;Sección de Servicio Comunitario;A101100704;Coordinación y/o Sección de Servicio Comunitario del Estudiante
NULL;61;NU01110000;Biblioteca General;A101130208;Bibliotecas Centrales Áreas Interdisciplinarias
NULL;61;NU01120000;Delegación de Tecnología Educativa;A101130300;Dirección y/o Delegación de Tecnología Educativa
NULL;61;NU01130000;Delegación de Comunicación Corporativa;A101030200;Comunicación Corporativa 
NULL;61;NU01140000;Coordinación Administrativa;A101080100;Coordinación de Administración 
NULL;61;NU01140100;Delegación de Presupuesto;A101070200;Dirección y/o Delegación de Presupuesto
NULL;61;NU01140200;Delegación de Personal;A101060100;Dirección y/o Delegación de Personal
NULL;61;NU01140201;Departamento de Nómina;A101060200;Departamento de Nómina
NULL;61;NU01140300;Delegación de Finanzas;A101080200;Dirección y/o Delegación de Finanzas
NULL;61;NU01140301;Departamento de Contabilidad;A101080203;Departamento de Contabilidad
NULL;61;NU01140302;Librería Universitaria;A101130208;Bibliotecas Centrales Áreas Interdisciplinarias
NULL;61;NU01140400;Comedor Universitario;A101140400;Comedor Estudiantil
NULL;61;NU01140500;Coordinación de Servicios Generales;A101150200;Coordinación y/o Sección de Servicios Generales
NULL;61;NU01140600;Sección de Compras;A101080101;Sección de Compras
NULL;61;NU01150000;Instituto de Investigaciones Cientifica;A101120100;Coordinación y/o Comisión de Investigación
NULL;61;NU01160100;Escuela de Ciencias Aplicadas del Mar - Dirección;A101100301;Dirección y Gestión Escuelas Área Ciencias del Agro y del Mar
NULL;61;NU01160200;Escuela de Ciencias Aplicadas del Mar - Departamento de Acuacultura Marina;A101100305;Departamento de Acuacultura
NULL;61;NU01160300;Escuela de Ciencias Aplicadas del Mar - Departamento de Tecnología de los Alimentos;A101100304;Departamento de Tecnología de Alimentos
NULL;61;NU01170100;Escuela de Hoteleria y Turismo - Dirección;A101100602;Gestion de la enseñanza en carreras . Ciencias Administrativas
NULL;61;NU01170200;Escuela de Hoteleria y Turismo - Departamento de Servicios Turisticos;A101100609;Departamento de Turismo
NULL;61;NU01170300;Escuela de Hoteleria y Turismo - Departamento de Turismo;A101100609;Departamento de Turismo
NULL;61;NU01170400;Escuela de Hoteleria y Turismo - Departamento de Informática;A101100214;Departamento de Informática
NULL;61;NU01170400;Escuela de Hoteleria y Turismo - Departamento de Estadistica;A101100611;Departamento de Estadística
NULL;61;NU01170400;Escuela de Hoteleria y Turismo - Cursos Básicos Experimentales;A101100609;Departamento de Turismo
NULL;61;NU01180100;Unidad de Cursos Básicos - Dirección;A101100701;Unidad de Cursos Básicos - Dirección
NULL;61;NU01180200;Unidad de Cursos Básicos - Departamento de Ciencias;A101100702;Unidad de Cursos Básicos - Dpto. de Ciencias
NULL;61;NU01180300;Unidad de Cursos Básicos - Departamento Socio-Humanistico;A101100703;Unidad de Cursos Básicos - Dpto. de Sociohumanidades
NULL;21;NU01000000;Decanato;A101020200;Decanato
NULL;21;NU01010000;Delegación de Consultoria Jurídica;A101020400;Dirección y/o Delegación de Consultoría Jurídica 
NULL;21;NU01020000;Delegación de Relaciones Inter-Institucionales;A101020600;Oficina de Relaciones Inter-Institucionales 
NULL;21;NU01030000;Delegación de Planificación ;A101070100;Dirección y/o Delegación de Planificación
NULL;21;NU01040000;Delegación de Deportes;A101140200;Dirección y/o Delegación de Deportes
NULL;21;NU01050000;Delegación de Recursos Humanos;A101040200;Comisión de Formación de Recursos Humanos
NULL;21;NU01060000;Delegación de Cultura;A101140300;Dirección y/o Delegación de Cultura
NULL;21;NU01070000;Delegación de Servicios Telemáticos;A101090100;Dirección y/o Delegación de Teleinformática
NULL;21;NU01080000;Delegación de Publicaciones ;A101030300;Servicios de Publicaciones Institucionales 
NULL;21;NU01090000;Delegación de Desarrollo Estudiantil;A101140100;Dirección y/o Delegación de Desarrollo Estudiantil
NULL;21;NU01100000;Coordinación Académica;A101040500;Coordinación Académica
NULL;21;NU01100100;Coordinación de Postgrdo;A101110100;Coordinación General  y/o Delegación de Postgrado
NULL;21;NU01100200;Delegación de Control de Estudio;A101130100;Coordiinación General y/o Delegación de Control de Estudio
NULL;21;NU01100300;Comisión de Investigación;A101120100;Coordinación y/o Comisión de Investigación
NULL;21;NU01100400;Delegación de Curricula;A101040400;Dirección y/o Delegación de Curricula
NULL;21;NU01100401;Sección de Servicio Comunitario;A101100704;Coordinación y/o Sección de Servicio Comunitario del Estudiante
NULL;21;NU01110000;Biblioteca General;A101130208;Bibliotecas Centrales Áreas Interdisciplinarias
NULL;21;NU01120000;Delegación de Tecnología Educativa;A101130300;Dirección y/o Delegación de Tecnología Educativa
NULL;21;NU01130000;Delegación de Comunicación Corporativa;A101030200;Comunicación Corporativa 
NULL;21;NU01140000;Coordinación Administrativa;A101080100;Coordinación de Administración 
NULL;21;NU01140100;Delegación de Presupuesto;A101070200;Dirección y/o Delegación de Presupuesto
NULL;21;NU01140200;Delegación de Personal;A101060100;Dirección y/o Delegación de Personal
NULL;21;NU01140201;Departamento de Nómina;A101060200;Departamento de Nómina
NULL;21;NU01140300;Delegación de Finanzas;A101080200;Dirección y/o Delegación de Finanzas
NULL;21;NU01140301;Departamento de Contabilidad;A101080203;Departamento de Contabilidad
NULL;21;NU01140302;Librería Universitaria;A101130208;Bibliotecas Centrales Áreas Interdisciplinarias
NULL;21;NU01140400;Comedor Universitario;A101140400;Comedor Estudiantil
NULL;21;NU01140500;Coordinación de Servicios Generales;A101150200;Coordinación y/o Sección de Servicios Generales
NULL;21;NU01140600;Sección de Compras;A101080101;Sección de Compras
NULL;21;NU01150100;Instituto Oceanográfico - Dirección;A101120500;Instituto Oceanógrafico de Venezuela
NULL;21;NU01150200;Instituto Oceanográfico - Departamento de Biología Marina;A101100306;Departamento de Biología Marina
NULL;21;NU01150300;Instituto Oceanográfico - Departamento de Biología Pesquera;A101100307;Departamento de Biología Pesquera
NULL;21;NU01150400;Instituto Oceanográfico - Departamento de Oceanografía Fisica-Quimica;A101120500;Instituto Oceanógrafico de Venezuela
NULL;21;NU01150500;Instituto Oceanográfico - Biblioteca;A101130208;Bibliotecas Centrales Áreas Interdisciplinarias
NULL;21;NU01160100;Escuela de Ciencias - Dirección;A101100101;Dirección y Gestión Escuela de Areas de Ciencias Básicas
NULL;21;NU01160200;Escuela de Ciencias - Departamento de Química;A101100105;Departamento de Química
NULL;21;NU01160300;Escuela de Ciencias - Departamento de Física;A101100102;Departamento de Física
NULL;21;NU01160400;Escuela de Ciencias - Departamento de Biología;A101100104;Departamento de Biología
NULL;21;NU01160500;Escuela de Ciencias - Departamento de Biónalisis;A101100402;Departamento de Bioanálisis
NULL;21;NU01160600;Escuela de Ciencias - Departamento de Matemáticas;A101100103;Departamento de Matemáticas
NULL;21;NU01170100;Escuela de Ciencias Sociales - Dirección;A101100603;Gestion de la enseñanza en carreras . Ciencias Sociales
NULL;21;NU01170200;Escuela de Ciencias Sociales - Departamento de Sociología;A101100604;Departamento de Sociología
NULL;21;NU01170300;Escuela de Ciencias Sociales - Departamento de Trabajo Social;A101100605;Departamento de Trabajo Social
NULL;21;NU01180100;Escuela de Administración - Dirección;A101100602;Gestion de la enseñanza en carreras . Ciencias Administrativas
NULL;21;NU01180200;Escuela de Administración - Departamento de Administración;A101100607;Departamento de Administración Comercial
NULL;21;NU01180300;Escuela de Administración - Departamento de Contaduria;A101100608;Departamento de Contaduría Pública
NULL;21;NU01190100;Escuela de Humanidades y Educación - Dirección;A101100501;Dirección y Gestión Escuelas Área Ciencias de la Educación
NULL;21;NU01190200;Escuela de Humanidades y Educación - Departamento Curric. Y Adm. Educación;A101100502;Departamento de Educación Integral
NULL;21;NU01190300;Escuela de Humanidades y Educación - Departamento de Filosofía y Letras;A101100504;Departamento de Educación - Castellano y Literatura
NULL;21;NU01190400;Escuela de Humanidades y Educación - Departamento de Idiomas Modernos;A101100505;Departamento de Educación - Ingles
NULL;21;NU01190500;Escuela de Humanidades y Educación - Departamento Psicología e Inv. Educ.;A101100502;Departamento de Educación Integral
NULL;21;NU01190600;Escuela de Humanidades y Educación - Escuela Primaria Romulo Gallegos;A101100511;Escuela Don Romulo Gallegos
NULL;21;NU01200100;Unidad de Cursos Básicos - Dirección;A101100701;Unidad de Cursos Básicos - Dirección
NULL;21;NU01200200;Unidad de Cursos Básicos - Departamento de Ciencias;A101100702;Unidad de Cursos Básicos - Dpto. de Ciencias
NULL;21;NU01200300;Unidad de Cursos Básicos - Departamento Socio-Humanistico;A101100703;Unidad de Cursos Básicos - Dpto. de Sociohumanidades
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
